survey_row,xlsform_name,xlsform_type,base_type,label_en,choice_list,target_list,target_columns,required_in_app,required_in_sharepoint,relevance,constraint,choice_filter,storage_strategy
300,other_dy,integer,integer,Direct Youth (18-35),,TACATDP_Beneficiaries,other_dy,yes,no,,,,scalar input field
301,other_im,integer,integer,Indirect Male Beneficiaries,,TACATDP_Beneficiaries,other_im,yes,no,,,,scalar input field
302,other_if,integer,integer,Indirect Female Beneficiaries,,TACATDP_Beneficiaries,other_if,yes,no,,,,scalar input field
305,other_iy,integer,integer,Indirect Youth (18-35),,TACATDP_Beneficiaries,other_iy,yes,no,,,,scalar input field
336,exclusion_screen_passed,select_one Yes_No,select_one,Exclusion Screen Passed?,Yes_No,TACATDP_SafeguardsClimate,exclusion_screen_passedValue;exclusion_screen_passedLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
337,es_risk_category,select_one risk_category,select_one,E&S Risk Category,risk_category,TACATDP_SafeguardsClimate,es_risk_categoryValue;es_risk_categoryLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
338,disclosure_published,select_one Yes_No,select_one,Disclosure Published?,Yes_No,TACATDP_SafeguardsClimate,disclosure_publishedValue;disclosure_publishedLabel,yes,no,${es_risk_category}=‘B’,,,select_one stored as text value/label from reference data for delegation and export fidelity
339,disclosure_date,date,date,Disclosure Date,,TACATDP_SafeguardsClimate,disclosure_date,yes,no,${disclosure_published}=‘1’,,,scalar input field
340,grm_complaint,select_one Yes_No,select_one,GRM Complaint?,Yes_No,TACATDP_SafeguardsClimate,grm_complaintValue;grm_complaintLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
341,ess_grievance,select_one Yes_No,select_one,Is there an ESS related grievance/complaint related to project/farm?,Yes_No,TACATDP_SafeguardsClimate,ess_grievanceValue;ess_grievanceLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
342,grievance_name,text,text,Briefly name the Complaint/Grievance,,TACATDP_SafeguardsClimate,grievance_name,yes,no,${ess_grievance}=‘1’,,,scalar input field
343,grievance_stage,select_one grievance_stage,select_one,What stage of GRM for above Compliant/Grivance?,grievance_stage,TACATDP_SafeguardsClimate,grievance_stageValue;grievance_stageLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
344,grievance_name_other,text,text,Other stage of GRM for above Compliant/Grivance?,,TACATDP_SafeguardsClimate,grievance_name_other,yes,no,${grievance_stage}=‘96’,,,scalar input field
345,Climate_hazards,select_multiple Climate_hazards,select_multiple,Climate hazards  affected  farm/business in the past 3–5 years,Climate_hazards,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,,,,select_multiple child rows
346,other_Climate_hazards,text,text,"Please specify the ""other"" Climate_hazards.",,TACATDP_SafeguardsClimate,other_Climate_hazards,yes,no,"selected(${Climate_hazards}, '96')",,,scalar input field
347,frequently,select_one frequently,select_one,How frequently do these climate events occur,frequently,TACATDP_SafeguardsClimate,frequentlyValue;frequentlyLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
348,collateral,select_multiple collateral,select_multiple,Assets used as collateral for your farming/business loan?,collateral,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,,,,select_multiple child rows
349,other_collateral,text,text,"Please specify the ""other""",,TACATDP_SafeguardsClimate,other_collateral,yes,no,"selected(${collateral}, '96')",,,scalar input field
350,exposure_level,select_one exposure_level,select_one,How exposed is your collateral to climate risks?,exposure_level,TACATDP_SafeguardsClimate,exposure_levelValue;exposure_levelLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
354,accessed_insurance,select_one Yes_No,select_one,Accessed TACATDP Insurance,Yes_No,TACATDP_InsuranceGuarantee,accessed_insuranceValue;accessed_insuranceLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
355,insurance_year,select_one insurance_year,select_one,Insurance Year,insurance_year,TACATDP_InsuranceGuarantee,insurance_yearValue;insurance_yearLabel,yes,no,${accessed_insurance}='1',,,select_one stored as text value/label from reference data for delegation and export fidelity
